Country,Year,income,mm_ratio,births_attended,lower_bound,upper_bound
Paraguay, 2000,4140,158,NA,142,176
Paraguay, 2013,7640,NA,95.7,NA,NA
Peru, 1990,3290,251,NA,207,325
Peru, 2000,5000,140,NA,124,164
Philippines, 1990,2550,152,NA,126,175
Philippines, 2000,3950,124,NA,110,138
Philippines, 2013,7820,NA,72.8,NA,NA
Poland, 2000,10540,8,NA,7,10
Portugal, 1990,10960,17,NA,15,20
Portugal, 2000,17340,13,NA,12,15
Qatar, 2012,121750,NA,100.0,NA,NA
Republic of Korea, 1990,8600,21,NA,19,24
Republic of Korea, 2000,17990,16,NA,14,18
Republic of Korea, 2012,32150,NA,99.8,NA,NA
Republic of Moldova, 1990,4160,51,NA,45,58
Republic of Moldova, 2000,1870,49,NA,43,56
Republic of Moldova, 2012,4710,NA,99.2,NA,NA
Romania, 1990,5160,124,NA,108,141
Romania, 2000,5670,51,NA,44,58
Romania, 2008,15280,NA,98.7,NA,NA
Russian Federation, 1990,8000,63,NA,56,72
Russian Federation, 2000,6650,57,NA,50,64
Russian Federation, 2008,19710,NA,99.6,NA,NA
Rwanda, 1990,550,1300,NA,943,1690
Rwanda, 2000,600,1020,NA,825,1230
Saint Lucia, 1990,4720,45,NA,36,57
Saint Lucia, 2000,7060,54,NA,43,68
Saint Lucia, 2012,10260,NA,98.7,NA,NA
Saint Vincent and the Grenadines, 1990,3500,58,NA,47,75
Saint Vincent and the Grenadines, 2000,5720,74,NA,58,92
Samoa, 1990,3090,156,NA,84,279
Samoa, 2000,3080,93,NA,48,181
Saudi Arabia, 1990,24390,46,NA,32,67
Saudi Arabia, 2000,29490,23,NA,16,34
Saudi Arabia, 2013,53780,NA,98.0,NA,NA
Senegal, 1990,1160,540,NA,425,688
Senegal, 2000,1490,488,NA,382,626
Serbia, 2000,5790,17,NA,13,21
Seychelles, 2012,22220,NA,99.0,NA,NA
Sierra Leone, 1990,770,2630,NA,1780,3640
Sierra Leone, 2000,770,2650,NA,1980,3460
Sierra Leone, 2013,1750,NA,59.7,NA,NA
Singapore, 1990,21930,12,NA,10,15
Singapore, 2000,40610,18,NA,15,22
Slovakia, 1990,7680,11,NA,9,14
Slovakia, 2000,10960,8,NA,7,9
Slovakia, 2008,22840,NA,99.5,NA,NA
Slovenia, 2000,17590,12,NA,10,15
Slovenia, 2012,27610,NA,99.8,NA,NA
Solomon Islands, 1990,790,364,NA,241,550
Solomon Islands, 2000,1360,214,NA,146,321
South Africa, 1990,6190,108,NA,74,159
South Africa, 2000,7370,85,NA,83,87
South Africa, 2008,10960,NA,94.3,NA,NA
South Sudan, 2010,2600,NA,17.2,NA,NA
Spain, 1990,13200,6,NA,6,7
Spain, 2000,21160,5,NA,5,6
Sri Lanka, 1990,2150,75,NA,65,90
Sri Lanka, 2000,3850,57,NA,52,63
Sudan, 1990,1110,744,NA,529,1050
Sudan, 2000,1790,544,NA,410,729
Sudan, 2010,2970,NA,19.9,NA,NA
Suriname, 1990,6700,127,NA,104,155
Suriname, 2000,7810,259,NA,219,312
Suriname, 2010,13730,NA,90.0,NA,NA
Swaziland, 1990,3660,635,NA,390,995
Swaziland, 2000,4730,586,NA,403,846
Sweden, 1990,19010,8,NA,7,9
Sweden, 2000,27750,5,NA,5,6
Switzerland, 1990,25940,8,NA,7,10
Switzerland, 2000,34890,7,NA,6,8
Tajikistan, 1990,2350,107,NA,93,126
Tajikistan, 2000,900,68,NA,58,80
Tajikistan, 2012,2340,NA,87.4,NA,NA
Thailand, 1990,4070,40,NA,34,48
Thailand, 2000,6980,25,NA,22,28
Thailand, 2012,13420,NA,99.6,NA,NA
The former Yugoslav republic of Macedonia, 1990,5220,14,NA,11,18
The former Yugoslav republic of Macedonia, 2000,5710,12,NA,10,14
Timor-Leste, 2000,1640,694,NA,517,925
Togo, 1990,860,568,NA,430,759
Togo, 2000,1010,491,NA,367,649
Tonga, 1990,2370,75,NA,41,132
Tonga, 2000,3700,97,NA,50,190
Tonga, 2012,5370,NA,95.5,NA,NA
Trinidad and Tobago, 1990,8040,90,NA,80,103
Trinidad and Tobago, 2000,12980,62,NA,54,70
Tunisia, 1990,3420,131,NA,96,175
Tunisia, 2000,5620,84,NA,62,115
Turkey, 1990,4360,97,NA,63,149
Turkey, 2000,9180,79,NA,59,108
Turkmenistan, 2000,3990,59,NA,41,80
Tuvalu, 2007,5430,NA,93.1,NA,NA
Uganda, 1990,410,687,NA,544,877
Uganda, 2000,690,620,NA,503,766
Uganda, 2011,1310,NA,58.0,NA,NA
Ukraine, 1990,6960,46,NA,41,52
Ukraine, 2000,3710,34,NA,30,39
Ukraine, 2012,8670,NA,99.0,NA,NA
United Arab Emirates, 2010,56260,NA,100.0,NA,NA
United Kingdom of Great Britain and Northern Ireland, 1990,15770,10,NA,9,11
United Kingdom of Great Britain and Northern Ireland, 2000,26280,12,NA,11,12
United Republic of Tanzania, 1990,640,997,NA,775,1280
United Republic of Tanzania, 2000,820,842,NA,671,1050
United Republic of Tanzania, 2010,1500,NA,48.9,NA,NA
United States of America, 1990,23730,12,NA,11,13
United States of America, 2000,36930,12,NA,12,12
Uruguay, 1990,6000,37,NA,32,44
Uruguay, 2000,9960,31,NA,26,36
Uruguay, 2013,18930,NA,98.2,NA,NA
Uzbekistan, 2000,1940,34,NA,30,39
Uzbekistan, 2006,2950,NA,99.6,NA,NA
Vanuatu, 1990,1680,225,NA,126,406
Vanuatu, 2000,2120,144,NA,73,276
Vanuatu, 2013,2840,NA,89.4,NA,NA
Venezuela (Bolivarian Republic of), 1990,9260,94,NA,83,105
Venezuela (Bolivarian Republic of), 2000,11340,90,NA,80,100
Viet Nam, 1990,910,139,NA,92,186
Viet Nam, 2000,2070,81,NA,61,102
Yemen, 1990,2210,547,NA,389,736
Yemen, 2000,2930,440,NA,337,573
Yemen, 2013,3820,NA,43.0,NA,NA
Zambia, 1990,1500,577,NA,449,757
Zambia, 2000,1590,541,NA,441,666
Zimbabwe, 1990,1590,440,NA,351,523
Zimbabwe, 2000,1890,590,NA,534,664
